Temperature,Humidity,Wind Speed,Weather Condition,Date Time
14.95,47,2.07,clear sky,2024-12-04 21:00:00
13.97,38,1.44,clear sky,2024-12-05 00:00:00
14.84,25,1.26,clear sky,2024-12-05 03:00:00
21.8,15,2.77,clear sky,2024-12-05 06:00:00
24.8,12,3.63,clear sky,2024-12-05 09:00:00
20.56,14,1.78,clear sky,2024-12-05 12:00:00
17.5,17,0.77,clear sky,2024-12-05 15:00:00
15.93,18,0.93,clear sky,2024-12-05 18:00:00
14.51,20,1.81,clear sky,2024-12-05 21:00:00
13.38,22,1.32,clear sky,2024-12-06 00:00:00
14.72,22,1.07,clear sky,2024-12-06 03:00:00
21.39,14,1.43,clear sky,2024-12-06 06:00:00
23.71,11,2.27,clear sky,2024-12-06 09:00:00
19.64,14,1.29,clear sky,2024-12-06 12:00:00
16.88,16,1.5,clear sky,2024-12-06 15:00:00
15.67,17,0.79,clear sky,2024-12-06 18:00:00
13.62,20,1.53,clear sky,2024-12-06 21:00:00
12.31,24,1.06,clear sky,2024-12-07 00:00:00
14.08,22,0.28,overcast clouds,2024-12-07 03:00:00
20.16,14,0.38,overcast clouds,2024-12-07 06:00:00
22.48,11,1.36,broken clouds,2024-12-07 09:00:00
18.61,14,1.31,broken clouds,2024-12-07 12:00:00
16.12,16,1.99,scattered clouds,2024-12-07 15:00:00
14.27,19,2.69,few clouds,2024-12-07 18:00:00
12.37,25,3.03,clear sky,2024-12-07 21:00:00
11.13,26,3.12,clear sky,2024-12-08 00:00:00
12.35,30,3.0,clear sky,2024-12-08 03:00:00
19.97,21,4.26,clear sky,2024-12-08 06:00:00
22.79,19,3.48,clear sky,2024-12-08 09:00:00
18.88,25,3.8,few clouds,2024-12-08 12:00:00
14.73,47,5.3,overcast clouds,2024-12-08 15:00:00
13.02,53,3.2,overcast clouds,2024-12-08 18:00:00
10.95,66,3.11,scattered clouds,2024-12-08 21:00:00
10.19,83,2.77,few clouds,2024-12-09 00:00:00
11.2,76,3.69,clear sky,2024-12-09 03:00:00
17.54,46,2.61,clear sky,2024-12-09 06:00:00
19.9,36,1.95,clear sky,2024-12-09 09:00:00
17.38,41,1.75,clear sky,2024-12-09 12:00:00
14.67,51,2.99,clear sky,2024-12-09 15:00:00
12.32,66,2.18,clear sky,2024-12-09 18:00:00
